player,name_key,team,pos,age,gp,gs,mpg,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,PER,ts_pct,usg_pct,OWS,DWS,WS,ws_per_48,OBPM,DBPM,BPM,VORP,salary_2025_26,salary_2026_27,contract_years_remaining,total_remaining_value,guaranteed_total,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,cap_pct,per36_pts,per36_reb,per36_ast,likely_rookie_scale,predicted_cap_pct,predicted_aav,surplus_value,contract_type,contract_grade,small_sample_caveat
CJ McCollum,cj mccollum,TOT,PG,34,76,60,29.8,18.7,3.3,3.9,0.8,0.5,1.8,0.455,0.375,0.772,0.538,15.9,0.566,25.7,1.9,1.0,3.0,0.063,1.4,-1.7,-0.3,1.0,30666666.0,,1.0,30666666.0,30666666.0,30666666.0,,,,,,0.19830107276571807,22.590604026845636,3.9865771812080535,4.7114093959731544,False,0.23821959404126133,36839945.55969894,6173279.559698939,Veteran (above-MLE),Good value,False
De'Aaron Fox,deaaron fox,SAS,PG,28,72,72,31.0,18.6,3.8,6.2,1.2,0.3,2.3,0.486,0.332,0.76,0.549,17.6,0.578,24.9,3.4,3.0,6.4,0.138,1.5,0.6,2.2,2.4,37096620.0,49800000.0,5.0,260200620.0,260200620.0,37096620.0,49800000.0,53784000.0,57768000.0,61752000.0,,0.23987933810549186,21.6,4.412903225806452,7.2,False,0.1609327109110091,24887760.944254827,-12208859.055745173,Veteran (above-MLE),Significant overpay,False
Jerami Grant,jerami grant,POR,PF,31,57,38,29.7,18.6,3.5,2.1,0.7,0.6,2.1,0.453,0.389,0.814,0.547,,,,,,,,,,,,32000001.0,34206898.0,3.0,102620689.0,66206899.0,32000001.0,34206898.0,36413790.0,,,,0.20692286950280317,22.545454545454547,4.242424242424242,2.545454545454546,False,0.19002661462638093,29387045.87212593,-2612955.127874069,Veteran (above-MLE),Fair value,False
Kon Knueppel,kon knueppel,CHO,SF,20,81,80,31.5,18.5,5.3,3.4,0.7,0.2,2.0,0.475,0.425,0.863,0.601,17.1,0.633,22.3,5.6,2.5,8.0,0.151,3.1,-0.4,2.8,3.1,10015680.0,10516560.0,4.0,45487014.0,20532240.0,10015680.0,10516560.0,11017560.0,13937214.0,,,0.06476478690178276,21.142857142857142,6.057142857142857,3.8857142857142852,True,0.08209113988183066,12695148.509305466,2679468.509305466,Veteran,Rookie scale (locked-in value),False
DeMar DeRozan,demar derozan,SAC,PF,36,77,77,31.2,18.4,2.9,4.1,1.0,0.3,1.2,0.497,0.32,0.868,0.52,17.8,0.594,22.8,5.2,0.4,5.6,0.112,0.9,-1.0,-0.1,1.1,24570000.0,25740000.0,2.0,50310000.0,24570000.0,24570000.0,25740000.0,,,,,0.15887796077518476,21.23076923076923,3.3461538461538463,4.730769230769231,False,0.22759985414524514,35197634.643999726,10627634.643999726,Mid-level range,Significant bargain,False
Amen Thompson,amen thompson,HOU,PG,23,79,79,37.4,18.3,7.8,5.3,1.5,0.6,2.4,0.534,0.216,0.779,0.545,18.9,0.594,20.0,6.5,3.8,10.3,0.167,1.6,1.0,2.6,3.4,9690600.0,12258609.0,2.0,21949209.0,21949209.0,9690600.0,12258609.0,,,,,0.06266270926691109,17.614973262032088,7.508021390374331,5.101604278074866,False,0.1768930668208485,27355982.104643755,17665382.104643755,Veteran,Significant bargain,False
Evan Mobley,evan mobley,CLE,PF,24,65,63,31.9,18.2,9.0,3.6,0.7,1.7,1.9,0.546,0.297,0.606,0.582,20.0,0.596,22.6,3.6,2.9,6.5,0.15,1.8,1.2,3.0,2.6,46394100.0,50105628.0,5.0,269085780.0,269085780.0,46394100.0,50105628.0,53817156.0,57528684.0,61240212.0,,0.3,20.539184952978054,10.156739811912226,4.06269592476489,False,0.17752225174742903,27453283.665984657,-18940816.334015343,Max / Supermax,Significant overpay,False
Scottie Barnes,scottie barnes,TOR,PF,24,80,80,33.5,18.1,7.5,5.9,1.4,1.5,2.6,0.507,0.304,0.815,0.537,19.2,0.577,23.4,3.3,4.5,7.8,0.14,1.9,2.3,4.2,4.2,38661750.0,41754690.0,5.0,224238150.0,224238150.0,38661750.0,41754690.0,44847630.0,47940570.0,51033510.0,,0.25,19.45074626865672,8.059701492537314,6.340298507462687,False,0.20606070146838867,31866669.299981903,-6795080.700018097,Veteran (above-MLE),Slight overpay,False
Jalen Green,jalen green,PHO,SG,23,32,27,25.9,17.8,3.6,2.8,1.1,0.3,2.3,0.422,0.313,0.747,0.491,,,,,,,,,,,,33584499.0,36251166.0,3.0,105835665.0,69835665.0,33584499.0,36251166.0,36000000.0,,,,0.2171687714601641,24.741312741312743,5.003861003861004,3.891891891891892,False,0.1047456913337199,16198606.927685782,-17385892.072314218,Veteran (above-MLE),Significant overpay,True
Saddiq Bey,saddiq bey,NOP,SF,26,72,64,31.2,17.7,5.6,2.5,0.9,0.1,0.9,0.451,0.367,0.841,0.529,17.1,0.579,21.6,4.5,1.0,5.4,0.116,2.3,-1.8,0.5,1.4,,,,,,,,,,,,,20.423076923076923,6.461538461538462,2.884615384615385,False,0.1396560805164378,21597393.883625556,,Veteran,Unknown,False
Bennedict Mathurin,bennedict mathurin,TOT,SF,23,54,25,30.0,17.6,5.4,2.4,0.8,0.2,2.2,0.43,0.315,0.869,0.485,,,,,,,,,,,,9187573.0,,1.0,9187573.0,9187573.0,9187573.0,,,,,,0.05940996592239099,21.12,6.48,2.88,False,0.1377797740760724,21307228.721542366,12119655.721542366,Veteran,Significant bargain,False
Coby White,coby white,TOT,SG,25,50,26,25.0,17.4,3.4,4.0,0.5,0.1,2.6,0.446,0.362,0.817,0.539,,,,,,,,,,,,12888889.0,,1.0,12888889.0,12888889.0,12888889.0,,,,,,0.08334393166372449,25.055999999999997,4.896000000000001,5.76,False,0.11132568292113795,17216182.88670522,4327293.88670522,Mid-level range,Good value,False
Kevin Porter Jr.,kevin porter jr,MIL,PG,25,38,36,33.2,17.4,5.2,7.4,2.2,0.5,2.9,0.465,0.322,0.878,0.51,,,,,,,,,,,,,,,,,,,,,,,,18.867469879518072,5.63855421686747,8.024096385542169,False,,,,Veteran,Unknown,True
Paul George,paul george,PHI,PF,35,37,37,30.7,17.3,5.3,3.6,1.7,0.4,1.7,0.439,0.392,0.82,0.536,,,,,,,,,,,,51666090.0,54126380.0,3.0,162379140.0,105792470.0,51666090.0,54126380.0,56586670.0,,,,0.3340904770218627,20.286644951140065,6.214983713355049,4.221498371335505,False,0.2676983688879104,41398749.65340868,-10267340.346591324,Max / Supermax,Significant overpay,True
Ryan Rollins,ryan rollins,MIL,PG,23,74,67,32.1,17.3,4.6,5.6,1.5,0.4,2.7,0.472,0.406,0.796,0.561,16.2,0.583,24.2,1.7,1.8,3.4,0.069,0.7,-0.5,0.2,1.3,,,,,,,,,,,,,19.401869158878505,5.158878504672897,6.280373831775701,False,0.156059641961967,24134155.45049231,,Veteran,Unknown,False
Miles Bridges,miles bridges,CHO,PF,27,77,77,31.0,17.1,5.8,3.2,0.6,0.4,1.4,0.46,0.333,0.822,0.531,16.0,0.57,22.3,4.0,2.5,6.5,0.13,1.2,-0.1,1.1,1.9,25000000.0,22826087.0,2.0,47826087.0,47826087.0,25000000.0,22826087.0,,,,,0.16165848674723726,19.858064516129033,6.735483870967742,3.7161290322580647,False,0.13434862365729555,20776611.602729786,-4223388.397270214,Mid-level range,Slight overpay,False
Chet Holmgren,chet holmgren,OKC,PF,23,69,69,28.9,17.1,8.9,1.7,0.6,1.9,1.6,0.557,0.362,0.792,0.614,21.6,0.653,21.9,4.4,4.7,9.1,0.219,2.4,1.9,4.2,3.1,13731368.0,41500000.0,6.0,254431368.0,254431368.0,13731368.0,41500000.0,44820000.0,48140000.0,51460000.0,54780000.0,0.08879168687397751,21.30103806228374,11.086505190311419,2.1176470588235294,False,0.2010004544316829,31084117.276496466,17352749.276496466,Mid-level range,Significant bargain,False
Jalen Williams,jalen williams,OKC,SG,24,33,33,28.4,17.1,4.6,5.5,1.2,0.3,1.9,0.484,0.299,0.837,0.51,,,,,,,,,,,,6580997.0,41500000.0,6.0,247280997.0,247280997.0,6580997.0,41500000.0,44820000.0,48140000.0,51460000.0,54780000.0,0.04255496065232432,21.67605633802817,5.830985915492958,6.971830985915494,False,0.16784731048445195,25957083.02448904,19376086.02448904,Veteran,Significant bargain,True
Payton Pritchard,payton pritchard,BOS,PG,28,79,50,32.4,17.0,3.9,5.2,0.7,0.1,1.4,0.464,0.377,0.89,0.561,17.1,0.584,21.4,6.1,2.4,8.5,0.16,2.6,-0.3,2.3,2.8,7232143.0,7767857.0,3.0,23303571.0,23303571.0,7232143.0,7767857.0,8303571.0,,,,0.046765491732784985,18.88888888888889,4.333333333333334,5.777777777777779,False,0.12366427714483776,19124309.467617724,11892166.467617724,Veteran,Significant bargain,False
Josh Giddey,josh giddey,CHI,PG,23,54,51,32.1,17.0,8.3,9.1,1.0,0.5,3.6,0.448,0.364,0.763,0.52,,,,,,,,,,,,25000000.0,25000000.0,4.0,100000000.0,100000000.0,25000000.0,25000000.0,25000000.0,25000000.0,,,0.16165848674723726,19.06542056074766,9.308411214953273,10.205607476635514,False,0.1425976549718435,22052299.548430685,-2947700.451569315,Mid-level range,Fair value,False
Andrew Nembhard,andrew nembhard,IND,PG,26,57,57,31.3,16.9,2.8,7.7,0.9,0.1,2.4,0.442,0.361,0.825,0.513,,,,,,,,,,,,18102000.0,19550160.0,3.0,58650480.0,58650480.0,18102000.0,19550160.0,20998320.0,,,,0.11705367708393956,19.43769968051118,3.220447284345048,8.856230031948883,False,0.162022103464823,25056232.23452448,6954232.234524481,Mid-level range,Good value,False
Stephon Castle,stephon castle,SAS,PG,21,68,67,30.0,16.7,5.3,7.4,1.1,0.3,3.2,0.471,0.332,0.734,0.521,17.4,0.575,24.9,2.8,2.9,5.8,0.136,1.0,0.9,1.9,2.0,9560520.0,10015920.0,3.0,32246579.0,19576440.0,9560520.0,10015920.0,12670139.0,,,,0.06182156782866787,20.04,6.36,8.88,True,0.11733145804886891,18144957.99288343,8584437.992883429,Veteran,Rookie scale (locked-in value),False
OG Anunoby,og anunoby,NYK,PF,28,67,67,33.2,16.7,5.2,2.2,1.6,0.7,1.8,0.484,0.386,0.828,0.581,15.8,0.62,19.7,3.1,3.2,6.3,0.135,0.9,1.1,2.0,2.3,39568966.0,42500000.0,4.0,175862068.0,127500000.0,39568966.0,42500000.0,45431034.0,48362068.0,,,0.25586636662851525,18.108433734939755,5.63855421686747,2.385542168674699,False,0.16608303121559742,25684242.528398495,-13884723.471601505,Veteran (above-MLE),Significant overpay,False
Derrick White,derrick white,BOS,SG,31,77,77,34.1,16.5,4.4,5.4,1.1,1.3,1.7,0.394,0.327,0.902,0.489,16.0,0.529,22.0,3.5,3.5,7.0,0.129,2.2,1.0,3.2,3.5,28100000.0,30348000.0,4.0,125888000.0,91044000.0,28100000.0,30348000.0,32596000.0,34844000.0,,,0.18170413910389469,17.419354838709676,4.64516129032258,5.700879765395895,False,0.19560487356064007,30249706.881532304,2149706.881532304,Veteran (above-MLE),Fair value,False
Immanuel Quickley,immanuel quickley,TOR,PG,26,70,70,31.9,16.4,4.0,5.9,1.3,0.1,1.5,0.443,0.374,0.821,0.541,16.6,0.577,21.1,3.9,2.6,6.5,0.14,1.9,0.6,2.4,2.5,32500000.0,32500000.0,4.0,130000000.0,130000000.0,32500000.0,32500000.0,32500000.0,32500000.0,,,0.21015603277140843,18.507836990595614,4.514106583072101,6.6583072100313485,False,0.11573758176352564,17898469.806983948,-14601530.193016052,Veteran (above-MLE),Significant overpay,False
Matas Buzelis,matas buzelis,CHI,PF,21,77,77,29.2,16.3,5.8,2.1,0.7,1.5,2.1,0.463,0.349,0.786,0.553,14.8,0.586,22.8,0.4,2.1,2.6,0.055,-0.6,-0.4,-1.0,0.5,,,,,,,,,,,,,20.095890410958905,7.150684931506849,2.589041095890411,True,0.14227899995124454,22003020.505460113,,Veteran,Unknown,False
Jrue Holiday,jrue holiday,POR,PG,35,53,51,29.4,16.3,4.6,6.1,1.0,0.1,2.8,0.451,0.378,0.838,0.548,16.4,0.573,23.5,2.1,1.5,3.6,0.109,2.4,-0.5,1.9,1.6,32400000.0,34800000.0,3.0,104400000.0,67200000.0,32400000.0,34800000.0,37200000.0,,,,0.2095093988244195,19.95918367346939,5.63265306122449,7.469387755102041,False,0.22609683998143987,34965198.01260973,2565198.0126097277,Veteran (above-MLE),Fair value,False
Alex Sarr,alex sarr,WAS,C,20,48,48,27.2,16.3,7.4,2.7,0.8,2.0,1.7,0.482,0.333,0.692,0.52,,,,,,,,,,,,11808240.0,12370680.0,3.0,39790718.0,24178920.0,11808240.0,12370680.0,15611798.0,,,,0.07635608838192788,21.57352941176471,9.794117647058824,3.573529411764706,True,,,,Veteran,Unknown,False
Aaron Gordon,aaron gordon,DEN,PF,30,36,33,27.9,16.2,5.8,2.7,0.6,0.3,1.1,0.497,0.389,0.767,0.574,18.5,0.62,21.9,2.4,0.7,3.2,0.153,2.9,-1.2,1.7,0.9,22841455.0,33658037.0,4.0,131893495.0,92850172.0,22841455.0,33658037.0,36350680.0,39043323.0,,,0.14770060201620464,20.903225806451616,7.483870967741935,3.483870967741936,False,0.19388813988586032,29984219.16892864,7142764.168928642,Mid-level range,Good value,True
VJ Edgecombe,vj edgecombe,PHI,SG,20,75,75,35.0,16.0,5.6,4.2,1.4,0.5,1.8,0.438,0.354,0.818,0.51,14.0,0.54,20.1,1.9,2.5,4.4,0.081,-0.4,-0.1,-0.5,1.0,11108880.0,11663880.0,4.0,50438207.0,22772760.0,11108880.0,11663880.0,12219720.0,15445727.0,,,0.07183378921026597,16.457142857142856,5.76,4.32,True,0.10015219147791421,15488235.955485,4379355.955484999,Veteran,Rookie scale (locked-in value),False
Jarrett Allen,jarrett allen,CLE,C,27,56,56,27.1,15.4,8.5,1.8,1.0,0.8,1.3,0.638,0.1,0.709,0.639,22.1,0.669,19.9,4.2,2.2,6.4,0.202,2.2,0.4,2.6,1.8,20000000.0,28000000.0,4.0,110720000.0,110720000.0,20000000.0,28000000.0,30240000.0,32480000.0,,,0.1293267893977898,20.457564575645755,11.29151291512915,2.3911439114391144,False,0.18665966765529282,28866357.623888068,8866357.623888068,Mid-level range,Good value,False
Onyeka Okongwu,onyeka okongwu,ATL,C,25,74,63,31.0,15.2,7.6,3.1,1.1,1.1,1.7,0.48,0.376,0.757,0.564,15.9,0.592,19.5,2.6,3.3,6.0,0.125,-0.1,0.8,0.7,1.6,15000000.0,16120000.0,3.0,48000000.0,48000000.0,15000000.0,16120000.0,16880000.0,,,,0.09699509204834235,17.651612903225807,8.825806451612904,3.6,False,0.15780349386507622,24403836.91575244,9403836.91575244,Mid-level range,Significant bargain,False
Mikal Bridges,mikal bridges,NYK,SF,29,82,82,32.8,14.4,3.8,3.7,1.3,0.8,1.0,0.49,0.371,0.827,0.571,15.3,0.587,17.3,4.7,3.3,8.0,0.143,1.3,1.4,2.7,3.2,24900000.0,33482145.0,5.0,174900000.0,133382144.0,24900000.0,33482145.0,36160714.0,38839285.0,41517856.0,,0.1610118528002483,15.80487804878049,4.170731707317073,4.060975609756098,False,0.15194272453848504,23497486.521703094,-1402513.4782969058,Mid-level range,Fair value,False
Jeremiah Fears,jeremiah fears,NOP,PG,19,82,49,25.8,14.3,3.7,3.4,1.2,0.4,2.2,0.434,0.33,0.789,0.485,,,,,,,,,,,,7520040.0,7896240.0,4.0,34193629.0,15416280.0,7520040.0,7896240.0,8271960.0,10505389.0,,,0.04862713146714776,19.953488372093023,5.162790697674419,4.7441860465116275,True,,,,Veteran,Unknown,False
P.J. Washington,pj washington,DAL,PF,27,56,53,31.0,14.2,7.0,1.8,1.0,1.1,1.7,0.45,0.325,0.687,0.508,13.1,0.537,20.1,-0.3,2.0,1.7,0.046,-1.7,0.1,-1.6,0.2,14152174.0,19813044.0,5.0,102914614.0,102914614.0,14152174.0,19813044.0,21398088.0,22983132.0,24568176.0,,0.09151276132094383,16.490322580645163,8.129032258064516,2.0903225806451613,False,0.18153642047975024,28074062.817931935,13921888.817931935,Mid-level range,Significant bargain,False
Ivica Zubac,ivica zubac,TOT,C,28,48,47,30.1,14.1,10.6,2.2,0.4,0.8,1.8,0.598,0.0,0.711,0.598,18.6,0.622,19.2,2.6,1.6,4.2,0.139,0.7,-0.9,-0.3,0.6,18893980.0,20342140.0,3.0,61026420.0,61026420.0,18893980.0,20342140.0,21790300.0,,,,0.12217488861730263,16.86378737541528,12.677740863787374,2.631229235880399,False,0.18903466709712213,29233644.162568647,10339664.162568647,Mid-level range,Significant bargain,False
Tre Jones,tre jones,CHI,PG,26,65,41,27.0,14.1,3.1,5.4,1.2,0.2,1.4,0.553,0.315,0.841,0.586,,,,,,,,,,,,8000000.0,8000000.0,3.0,24000000.0,16000000.0,8000000.0,8000000.0,8000000.0,,,,0.05173071575911592,18.8,4.133333333333333,7.2,False,0.15846192560758335,24505661.409435943,16505661.409435943,Veteran,Significant bargain,False
Devin Vassell,devin vassell,SAS,SG,25,67,65,30.5,13.9,4.0,2.5,0.9,0.4,0.9,0.437,0.384,0.815,0.547,13.0,0.574,18.0,2.3,2.6,4.9,0.115,0.1,0.3,0.5,1.3,27000000.0,27000000.0,4.0,105652174.0,105652174.0,27000000.0,27000000.0,24652174.0,27000000.0,,,0.17459116568701624,16.40655737704918,4.721311475409836,2.9508196721311473,False,0.089432898693204,13830529.484207919,-13169470.515792081,Mid-level range,Significant overpay,False
De'Andre Hunter,deandre hunter,TOT,SF,28,45,25,26.1,13.7,4.1,2.0,0.7,0.1,1.7,0.415,0.305,0.867,0.49,,,,,,,,,,,,23303571.0,24910714.0,2.0,48214285.0,48214285.0,23303571.0,24910714.0,,,,,0.15068880094667209,18.89655172413793,5.655172413793102,2.758620689655172,False,0.14083147961724143,21779165.828367535,-1524405.171632465,Mid-level range,Fair value,False
Naz Reid,naz reid,MIN,C,26,77,3,26.1,13.6,6.2,2.2,1.0,1.0,1.6,0.456,0.362,0.732,0.549,15.4,0.565,22.1,0.9,3.2,4.0,0.097,-0.1,1.0,0.9,1.5,21551724.0,23275862.0,5.0,125000000.0,96551724.0,21551724.0,23275862.0,25000000.0,26724138.0,28448276.0,,0.1393607635453646,18.75862068965517,8.551724137931036,3.03448275862069,False,0.15548917631968773,24045934.650310747,2494210.6503107473,Mid-level range,Fair value,False
Toumani Camara,toumani camara,POR,PF,25,82,82,33.3,13.4,5.1,2.5,1.1,0.4,1.8,0.44,0.37,0.708,0.563,11.3,0.578,16.3,2.1,2.7,4.8,0.084,-1.0,0.0,-1.0,0.7,,,,,,,,,,,,,14.486486486486488,5.513513513513513,2.7027027027027026,False,0.09449333784308432,14613111.21741946,,Veteran,Unknown,False
Tobias Harris,tobias harris,DET,PF,33,63,63,27.7,13.3,5.1,2.5,0.9,0.4,1.0,0.469,0.368,0.866,0.531,15.0,0.574,18.8,2.6,2.7,5.3,0.145,0.6,0.8,1.4,1.5,26634146.0,,1.0,26634146.0,26634146.0,26634146.0,,,,,,0.17222542952659928,17.28519855595668,6.628158844765342,3.2490974729241877,False,0.16542648845427244,25582710.15998787,-1051435.8400121294,Mid-level range,Fair value,False
Kyle Kuzma,kyle kuzma,MIL,PF,30,69,43,26.2,13.0,4.5,2.7,0.7,0.4,1.7,0.492,0.347,0.726,0.552,14.1,0.581,21.8,0.9,1.0,1.9,0.051,-1.0,-1.3,-2.3,-0.1,22410605.0,20345152.0,2.0,42755757.0,42755757.0,22410605.0,20345152.0,,,,,0.14491457965560275,17.862595419847327,6.183206106870229,3.7099236641221376,False,0.16913546296143966,26156291.94059776,3745686.9405977614,Mid-level range,Good value,False
Deandre Ayton,deandre ayton,LAL,C,27,72,72,27.2,12.5,8.0,0.8,0.6,1.0,1.2,0.671,0.0,0.645,0.671,18.2,0.676,16.7,4.0,2.2,6.2,0.152,0.0,-0.9,-0.9,0.6,33654814.0,8104000.0,2.0,41758814.0,25550814.0,33654814.0,8104000.0,,,,,0.2176234521199894,16.544117647058826,10.588235294117647,1.0588235294117647,False,0.09588108628998297,14827722.351486996,-18827091.648513004,Veteran (above-MLE),Significant overpay,False
Cameron Johnson,cameron johnson,DEN,SF,29,54,54,30.5,12.2,3.8,2.4,0.7,0.4,0.9,0.48,0.43,0.839,0.596,,,,,,,,,,,,21057065.0,23062500.0,2.0,44119565.0,44119565.0,21057065.0,23062500.0,,,,,0.13616213052952855,14.399999999999999,4.485245901639344,2.8327868852459015,False,0.13422476920794693,20757457.88370137,-299607.11629863083,Mid-level range,Fair value,False
Donte DiVincenzo,donte divincenzo,MIN,SG,29,82,82,30.4,12.2,4.1,3.8,1.3,0.4,1.4,0.406,0.379,0.743,0.552,12.5,0.567,16.9,2.3,2.9,5.2,0.1,0.0,0.7,0.8,1.7,11990000.0,12535000.0,2.0,24525000.0,24525000.0,11990000.0,12535000.0,,,,,0.07753141024397499,14.44736842105263,4.855263157894737,4.5,False,0.14042492173960539,21716292.872264754,9726292.872264754,Veteran,Significant bargain,False
Duncan Robinson,duncan robinson,DET,SG,31,77,77,27.4,12.2,2.7,2.1,0.6,0.3,0.7,0.456,0.41,0.755,0.613,,,,,,,,,,,,16834692.0,15992957.0,3.0,47978871.0,16834692.0,16834692.0,15992957.0,15151222.0,,,,0.10885883334303284,16.029197080291972,3.5474452554744533,2.759124087591241,False,0.14922198992605246,23076733.076094232,6242041.0760942325,Mid-level range,Good value,False
Donovan Clingan,donovan clingan,POR,C,21,77,77,27.2,12.1,11.6,2.1,0.6,1.7,1.2,0.52,0.341,0.68,0.582,,,,,,,,,,,,7178400.0,7519920.0,3.0,24248618.0,14698320.0,7178400.0,7519920.0,9550298.0,,,,0.046417971250654715,16.014705882352942,15.352941176470587,2.7794117647058822,True,,,,Veteran,Unknown,False
Josh Hart,josh hart,NYK,SF,30,66,52,30.2,12.0,7.4,4.8,1.1,0.3,1.9,0.508,0.413,0.72,0.593,15.7,0.612,16.7,3.1,3.0,6.1,0.147,1.0,2.0,3.0,2.5,19472240.0,20923760.0,3.0,62771280.0,40396000.0,19472240.0,20923760.0,22375280.0,,,,0.12591411407916092,14.304635761589406,8.821192052980134,5.7218543046357615,False,0.14099615383176978,21804632.2016217,2332392.2016217,Mid-level range,Fair value,False
Dyson Daniels,dyson daniels,ATL,SG,22,76,76,33.2,11.9,6.8,5.9,2.0,0.4,1.8,0.517,0.188,0.615,0.532,15.5,0.542,16.0,3.1,3.6,6.6,0.126,-0.6,1.8,1.3,2.1,7707709.0,25000000.0,5.0,107707709.0,107707709.0,7707709.0,25000000.0,25000000.0,25000000.0,25000000.0,,0.04984066292912245,12.903614457831324,7.373493975903613,6.397590361445783,True,0.09237403907562348,14285368.020927945,6577659.020927945,Veteran,Rookie scale (locked-in value),False
Myles Turner,myles turner,MIL,C,29,71,71,26.9,11.9,5.3,1.5,0.7,1.6,1.2,0.44,0.383,0.74,0.553,14.2,0.584,18.6,1.2,1.8,3.0,0.076,-0.9,0.0,-0.9,0.5,25318251.0,26584164.0,4.0,108868482.0,79752492.0,25318251.0,26584164.0,27850077.0,29115990.0,,,0.16371640574986907,15.92565055762082,7.092936802973978,2.0074349442379185,False,0.16344222299089686,25275849.458873227,-42401.54112677276,Mid-level range,Fair value,False
Wendell Carter Jr.,wendell carter jr,ORL,C,26,78,78,29.3,11.8,7.4,2.0,0.8,0.6,1.3,0.512,0.319,0.792,0.568,14.1,0.617,15.6,3.4,2.8,6.2,0.131,-1.0,0.5,-0.6,0.8,10850000.0,18102000.0,4.0,69500480.0,48502160.0,10850000.0,18102000.0,19550160.0,20998320.0,,,0.07015978324830097,14.498293515358363,9.092150170648463,2.4573378839590445,False,0.11012907297756348,17031130.74876126,6181130.748761259,Veteran,Good value,False
Mark Williams,mark williams,PHO,C,24,60,55,23.6,11.7,8.0,1.0,0.9,0.9,1.1,0.644,1.0,0.771,0.645,21.8,0.68,17.4,4.0,2.3,6.3,0.215,1.5,0.5,2.0,1.4,,,,,,,,,,,,,17.847457627118644,12.203389830508474,1.5254237288135593,False,0.11490137593913939,17769153.08486009,,Veteran,Unknown,False
Nic Claxton,nic claxton,BRK,C,26,69,68,27.8,11.7,6.9,3.7,0.7,1.1,1.4,0.571,0.158,0.616,0.574,17.6,0.592,17.7,3.3,1.5,4.8,0.121,0.3,0.6,0.9,1.4,25352272.0,23147727.0,3.0,69443183.0,69443183.0,25352272.0,23147727.0,20943184.0,,,,0.16393639708497418,15.151079136690646,8.93525179856115,4.7913669064748206,False,0.12832559076365424,19845167.63482684,-5507104.365173161,Mid-level range,Slight overpay,False
Jarace Walker,jarace walker,IND,PF,22,76,41,25.7,11.6,5.1,2.5,0.8,0.3,1.8,0.419,0.374,0.749,0.51,,,,,,,,,,,,6665520.0,8478542.0,2.0,15144062.0,15144062.0,6665520.0,8478542.0,,,,,0.04310151506333779,16.249027237354085,7.14396887159533,3.501945525291829,True,,,,Veteran,Unknown,False
Rui Hachimura,rui hachimura,LAL,PF,27,68,41,28.3,11.5,3.3,0.8,0.6,0.3,0.6,0.514,0.443,0.694,0.611,,,,,,,,,,,,18259259.0,,1.0,18259259.0,18259259.0,18259259.0,,,,,,0.1180705671626349,14.628975265017669,4.1978798586572434,1.017667844522968,False,0.08063832984717068,12470475.795875404,-5788783.204124596,Mid-level range,Slight overpay,False
Tari Eason,tari eason,HOU,PF,24,60,34,25.8,10.5,6.3,1.5,1.2,0.5,1.4,0.416,0.358,0.776,0.496,,,,,,,,,,,,,,,,,,,,,,,,14.651162790697674,8.790697674418604,2.0930232558139537,False,,,,Veteran,Unknown,False
